AKT_infantum	ZINC00639646	-8.5	COc1ccc(NC(=O)Nc2ccc(Cc3ccc(NC(=O)Nc4ccc(OC)cc4)cc3)cc2)cc1
AKT_infantum	ZINC01032751	-8.5	COc1ccc(-c2ccnc(SCC(=O)N3CCc4c([nH]c5ccccc45)[C@@H]3C(F)(F)F)n2)cc1
AKT_infantum	ZINC01032971	-8.3	Cc1ccc(-c2cc(Cc3ccc(-c4ccc(OC(F)(F)F)cc4)o3)c(=O)[nH]n2)cc1
AKT_infantum	ZINC01041505	-8.3	Cc1onc(-c2ccccc2Cl)c1C(=O)NNC(=O)c1cc2c(s1)-c1ccccc1CC2
AKT_infantum	ZINC01042427	-8.5	Cc1cc(C)c2c(=O)c(C3C4=C(CC(C)(C)CC4=O)OC4=C3C(=O)CC(C)(C)C4)coc2c1
AKT_infantum	ZINC01044968	-8.5	O=C(/C=C/c1ccccc1)NC(=S)Nc1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1
AKT_infantum	ZINC01047180	-8.5	Cc1ccc(S(=O)(=O)Nc2cccc(-c3nnc(Cc4cc(F)cc(F)c4)o3)c2)cc1
AKT_infantum	ZINC01646307	-8.3	c1ccc2c(c1)c1ccccc1n2Cn1c2ccccc2c2ccccc21
AKT_infantum	ZINC01868948	-9.3	c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21
AKT_infantum	ZINC02156774	-8.3	O=C(COc1ccccc1SCc1ccc(Cl)cc1)NNC(=O)c1cccc(C(F)(F)F)c1
AKT_infantum	ZINC02871054	-8.4	C=CCN1Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C1
AKT_infantum	ZINC03126348	-9.2	N#Cc1cc(Cc2ccc3c(ccc4ccccc43)c2C#N)cc2c1ccc1ccccc12
AKT_infantum	ZINC04335977	-8.4	O=C1c2cccc3c2C(=C2C=CC=C[C@@H]12)N=N3
AKT_infantum	ZINC08636578	-8.4	Cc1ccc(-c2nc(NC(=O)Nc3ccc(OCc4ccccc4)cc3)sc2C)cc1Cl
AKT_infantum	ZINC12340607	-9.0	Cc1cc(-c2ccccc2)nc2oc3c(SCC(=O)c4ccc(-c5ccccc5)cc4)ncnc3c12
AKT_infantum	ZINC12368443	-8.5	O=C(/C=C\c1ccccc1)NC(=S)Nc1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1
AKT_infantum	ZINC12369439	-8.5	Cc1c(-c2csc(-c3ccc(Oc4ccc(C(F)(F)F)cn4)cc3)n2)sc2ccccc12
AKT_infantum	ZINC19835187	-8.5	O=C(c1csc(-c2ccc3c(c2)CCO3)n1)N1CCN(C2c3ccccc3-c3ccccc32)CC1
AKT_infantum	ZINC59593469	-9.1	C(=C1\c2ccccc2-c2c1ccc1ccccc21)\c1cc2c3c(cccc3c1)-c1ccccc1-2
AKT_major	ZINC00039381	-11.2	O=c1c2cccc3cccc(c32)c2nc3ccccc3n12
AKT_major	ZINC00106428	-10.8	CCn1cc(C(=O)NNC(C)=O)c(=O)c2cc(C(F)(F)F)ccc21
AKT_major	ZINC00135463	-10.8	O=C(ON=C1CCC2(CC1)OCCO2)c1cccc(C(F)(F)F)c1
AKT_major	ZINC00159949	-10.7	N#Cc1c(-c2ccccc2)c2c([nH]c1=O)-c1ccccc1CC2
AKT_major	ZINC00171439	-10.9	Cc1cc2nc(-c3ccc4c(c3)CCC4)cc(C(F)(F)F)n2n1
AKT_major	ZINC00174021	-10.6	c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1
AKT_major	ZINC00174100	-10.7	c1ccc(CNc2nnc3c4ccccc4c4ccccc4c3n2)cc1
AKT_major	ZINC01034889	-10.7	Cc1nn(-c2ccccc2)nc1CNC(=O)c1sc(-c2ccc(C(F)(F)F)cc2)nc1C
AKT_major	ZINC01036216	-10.8	Cc1cc(C)c2c(N)c(C(=O)NN3CC(=O)N(c4cccc(C(F)(F)F)c4)CC3=O)sc2n1
AKT_major	ZINC01040055	-10.9	O=C(NNC(=O)c1cc2cc(OC(F)(F)F)ccc2[nH]1)c1cccc(C(F)(F)F)c1
AKT_major	ZINC01040103	-10.7	O=C(NNC(=O)c1ccc2nonc2c1)c1cccc(C(F)(F)F)c1
AKT_major	ZINC01042001	-10.7	O=C1c2cc3ccccc3nc2-c2cccc3cccc1c23
AKT_major	ZINC01047520	-10.8	Cc1noc(-c2ccc(C(F)(F)F)cc2)c1C(=O)NNC(=O)Nc1ccccc1
AKT_major	ZINC02158787	-10.8	FC(F)(F)c1ccc(-c2nc(-c3cc(-c4ccc(Cl)cc4Cl)no3)cs2)cc1
AKT_major	ZINC03997778	-10.7	O=C(Nc1ccc2c(c1)C(=O)c1ccccc1C2=O)c1ccccc1
AKT_major	ZINC04382400	-11.5	Cc1cc(C)c2c(=O)c(-c3cc(C(=O)O)c4cc5ccccc5cc4n3)coc2c1
AKT_major	ZINC08636565	-10.8	Cc1cc(C)c2cc(C(=O)Nc3ccccc3SCc3cccc(Cl)c3F)[nH]c2c1
AKT_major	ZINC12340598	-10.7	C(=N\OCc1nnc(-c2ccc3ccccc3c2)o1)\c1cccc2c1OCO2
AKT_major	ZINC12367578	-11.2	O=C1c2ccccc2C(=O)c2c(Sc3cccc4c3C(=O)c3ccccc3C4=O)cccc21
AKT_major	ZINC38192939	-10.8	O=C1/C(=C/c2ccc(C(F)(F)F)cc2)CC/C1=C\c1ccc(C(F)(F)F)cc1
AKT_mexicana	ZINC00039381	-11.2	O=c1c2cccc3cccc(c32)c2nc3ccccc3n12
AKT_mexicana	ZINC00106428	-10.8	CCn1cc(C(=O)NNC(C)=O)c(=O)c2cc(C(F)(F)F)ccc21
AKT_mexicana	ZINC00159949	-10.7	N#Cc1c(-c2ccccc2)c2c([nH]c1=O)-c1ccccc1CC2
AKT_mexicana	ZINC00174021	-10.6	c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1
AKT_mexicana	ZINC00174100	-10.7	c1ccc(CNc2nnc3c4ccccc4c4ccccc4c3n2)cc1
AKT_mexicana	ZINC01034889	-10.7	Cc1nn(-c2ccccc2)nc1CNC(=O)c1sc(-c2ccc(C(F)(F)F)cc2)nc1C
AKT_mexicana	ZINC01036216	-10.7	Cc1cc(C)c2c(N)c(C(=O)NN3CC(=O)N(c4cccc(C(F)(F)F)c4)CC3=O)sc2n1
AKT_mexicana	ZINC01040055	-10.9	O=C(NNC(=O)c1cc2cc(OC(F)(F)F)ccc2[nH]1)c1cccc(C(F)(F)F)c1
AKT_mexicana	ZINC01040103	-10.7	O=C(NNC(=O)c1ccc2nonc2c1)c1cccc(C(F)(F)F)c1
AKT_mexicana	ZINC01041230	-10.6	COc1ccc(Nc2nnc3c4ccccc4c4ccccc4c3n2)cc1
AKT_mexicana	ZINC01042001	-10.9	O=C1c2cc3ccccc3nc2-c2cccc3cccc1c23
AKT_mexicana	ZINC01047520	-10.8	Cc1noc(-c2ccc(C(F)(F)F)cc2)c1C(=O)NNC(=O)Nc1ccccc1
AKT_mexicana	ZINC01047868	-10.6	CC(C)n1c(SCC(=O)NNC(=O)c2c(F)cccc2F)nc2cc(C(F)(F)F)ccc21
AKT_mexicana	ZINC02158787	-10.8	FC(F)(F)c1ccc(-c2nc(-c3cc(-c4ccc(Cl)cc4Cl)no3)cs2)cc1
AKT_mexicana	ZINC03997778	-10.8	O=C(Nc1ccc2c(c1)C(=O)c1ccccc1C2=O)c1ccccc1
AKT_mexicana	ZINC04382400	-11.5	Cc1cc(C)c2c(=O)c(-c3cc(C(=O)O)c4cc5ccccc5cc4n3)coc2c1
AKT_mexicana	ZINC08636565	-10.8	Cc1cc(C)c2cc(C(=O)Nc3ccccc3SCc3cccc(Cl)c3F)[nH]c2c1
AKT_mexicana	ZINC12367578	-11.3	O=C1c2ccccc2C(=O)c2c(Sc3cccc4c3C(=O)c3ccccc3C4=O)cccc21
AKT_mexicana	ZINC12368919	-10.9	O=C(NC(=O)c1csc(-c2ccc(C(F)(F)F)cc2Cl)n1)Nc1cccc(C(F)(F)F)c1
AKT_mexicana	ZINC38192939	-10.8	O=C1/C(=C/c2ccc(C(F)(F)F)cc2)CC/C1=C\c1ccc(C(F)(F)F)cc1
